f1,recall,precision
0.8631308810944534,0.837344398340249,0.8905560458958517
0.862923909945354,0.8376210235131397,0.8898031148986189
0.8613974799536815,0.8320885200553251,0.8928465420005937
0.8627563459051367,0.8320885200553251,0.8957712924359738
0.8614501076807642,0.8298755186721992,0.8955223880597015
0.8597065945017079,0.8348547717842324,0.8860833822665883
0.8611629576448704,0.8295988934993085,0.895223880597015
0.8608608608603614,0.8326417704011065,0.8910597986974541
0.8616623526023194,0.8287690179806363,0.8972746331236897
0.8632947976873622,0.8262793914246196,0.9037821482602117
0.8620097337527213,0.8329183955739973,0.8932067635716404
0.8625646923514271,0.8298755186721992,0.8979347500748279
0.8612059158129247,0.8376210235131397,0.8861574480538484
0.862627130783056,0.8329183955739973,0.8945335710041592
0.8632990867574913,0.8367911479944675,0.8915414087827881
0.8634549600907204,0.8378976486860304,0.8906204057630108
0.860705073086345,0.8307053941908714,0.8929527207850134
0.8625646923514271,0.8298755186721992,0.8979347500748279
0.8622941510500398,0.8401106500691563,0.8856809565470983
0.8626775721045372,0.8315352697095436,0.8962432915921288
0.8614681519560843,0.8343015214384509,0.8904635370534396
0.8615517738673981,0.8262793914246196,0.8999698704429044
0.8629939428896075,0.8276625172890733,0.90147634829768
0.8616225546600301,0.8284923928077456,0.8975127359904106
0.8632515425450595,0.8320885200553251,0.8968395945140131
0.8622120475027198,0.8334716459197787,0.8930053349140487
0.8617354196296568,0.8378976486860304,0.8869692532942899
0.862374821172605,0.8337482710926695,0.8930370370370371
0.8628800917952553,0.8320885200553251,0.8960381292820971
0.8629354654478157,0.8359612724757953,0.8917084685748008
0.8617021276590752,0.829045643153527,0.8970368153247531
0.862222222221723,0.8318118948824343,0.8949404761904762
0.8613180515754318,0.8315352697095436,0.8933135215453195
0.8624011502511183,0.8295988934993085,0.8979041916167665
0.861653272100534,0.8304287690179807,0.8953176260065613
0.8613662456941047,0.83015214384509,0.8950193856248136
0.8632210165614651,0.8362378976486861,0.8920035408675125
0.8629629629624633,0.8378976486860304,0.8895741556534508
0.8622273249133927,0.8309820193637621,0.8959141067700567
0.8618911174780107,0.8320885200553251,0.8939078751857356
0.8612037708479421,0.8213001383125864,0.9051829268292683
0.8623826714796453,0.8260027662517289,0.9021148036253777
0.8607302641068757,0.8248962655601659,0.899818949909475
0.8628179479846392,0.8351313969571231,0.892403192432752
0.8627167630052813,0.8257261410788381,0.903177004538578
0.8631638900749666,0.8384508990318119,0.8893779342723005
0.8621575342460758,0.8356846473029046,0.8903625110521662
0.861737257716658,0.83015214384509,0.8958208955223881
0.8624768419547519,0.8370677731673583,0.8894767783656673
0.8627843754466319,0.8340248962655602,0.8935981031416717
0.8613138686126391,0.8323651452282158,0.8923487544483986
0.8618354703928158,0.8273858921161825,0.8992784125075165
0.862128641476282,0.8268326417704011,0.9005724615848147
0.8629136226896597,0.833195020746888,0.8948306595365418
0.8619006603497734,0.8304287690179807,0.8958519844822441
0.86152083631627,0.8320885200553251,0.8931116389548693
0.8627057981383696,0.8334716459197787,0.8940652818991098
0.8630038731884263,0.8320885200553251,0.8963051251489869
0.8621726062682854,0.833195020746888,0.8932384341637011
0.8628685943310207,0.8337482710926695,0.8940967072085435
0.8627676390280968,0.8304287690179807,0.8977272727272727
0.8621726062682854,0.833195020746888,0.8932384341637011
0.86328858091476,0.8271092669432918,0.9027777777777778
0.8610634648365503,0.833195020746888,0.8908606921029282
0.8616262482163335,0.8354080221300139,0.8895434462444771
0.862058993637442,0.8246196403872752,0.9030596788851863
0.8626609442055092,0.8340248962655602,0.8933333333333333
0.8629921259837524,0.8337482710926695,0.8943620178041543
0.862939841089171,0.8412171507607192,0.8858141567142441
0.8623354321689339,0.8334716459197787,0.8932700859768752
0.861627069833914,0.8276625172890733,0.8984984984984985
0.8623510836797073,0.8309820193637621,0.89618138424821
0.862823061629719,0.840387275242047,0.8864896410854975
0.8627956989242318,0.8323651452282158,0.8955357142857143
